Anglo-American University,Czech Republic,,"[""aauni.edu""]",CZ,"[""http://www.aauni.edu/""]"
Charles University Prague,Czech Republic,,"[""cuni.cz""]",CZ,"[""http://www.cuni.cz/""]"
Czech Technical University of Prague,Czech Republic,,"[""cvut.cz"",""fa.cvut.cz"",""fit.cvut.cz""]",CZ,"[""http://www.cvut.cz/""]"
Czech University of Agriculture Prague,Czech Republic,,"[""czu.cz""]",CZ,"[""http://www.czu.cz/""]"
"Academy of Performing Arts, Film and TV Fakulty",Czech Republic,,"[""famu.cz""]",CZ,"[""http://www.famu.cz/""]"
University of South Bohemia,Czech Republic,,"[""jcu.cz""]",CZ,"[""http://www.jcu.cz/""]"
Mendel University of Agriculture and Forestry,Czech Republic,,"[""mendelu.cz""]",CZ,"[""https://www.mendelu.cz/""]"
Prague International University,Czech Republic,,"[""mpu-prague.cz""]",CZ,"[""http://www.mpu-prague.cz/""]"
Masaryk University,Czech Republic,,"[""muni.cz""]",CZ,"[""https://www.muni.cz/""]"
University of Ostrava,Czech Republic,,"[""osu.cz""]",CZ,"[""http://www.osu.cz/""]"
Prague College,Czech Republic,,"[""praguecollege.cz""]",CZ,"[""http://www.praguecollege.cz/""]"
Silesian University,Czech Republic,,"[""slu.cz""]",CZ,"[""http://www.slu.cz/""]"
Tiffin University Prague,Czech Republic,,"[""tiffinprague.cz""]",CZ,"[""http://www.tiffinprague.cz/""]"
University of Jan Evangelista Purkyne,Czech Republic,,"[""ujep.cz""]",CZ,"[""http://www.ujep.cz/""]"
"University of Northern Virginia, Prague Campus",Czech Republic,,"[""unva.cz""]",CZ,"[""http://www.unva.cz/""]"
University of New York in Prague,Czech Republic,,"[""unyp.cz""]",CZ,"[""http://www.unyp.cz/""]"
University of Pardubice,Czech Republic,,"[""upce.cz""]",CZ,"[""http://www.upce.cz/""]"
Palacký University Olomouc,Czech Republic,,"[""upol.cz""]",CZ,"[""https://www.upol.cz/""]"
Tomas Bata University in Zlin,Czech Republic,,"[""utb.cz""]",CZ,"[""http://www.utb.cz/""]"
University of Veterinary and Pharmaceutical Science,Czech Republic,,"[""vfu.cz""]",CZ,"[""http://www.vfu.cz/""]"
Technical University of Mining and Metallurgy Ostrava,Czech Republic,,"[""vsb.cz""]",CZ,"[""http://www.vsb.cz/""]"
Prague Institute of Chemical Technology,Czech Republic,,"[""vscht.cz""]",CZ,"[""http://www.vscht.cz/""]"
Cevro Institut College,Czech Republic,,"[""vsci.cz""]",CZ,"[""http://www.vsci.cz/""]"
University of Economics Prague,Czech Republic,,"[""vse.cz""]",CZ,"[""http://www.vse.cz/""]"
Technical University of Liberec,Czech Republic,,"[""vslib.cz""]",CZ,"[""http://www.vslib.cz/""]"
University of Education Hradec Kralove,Czech Republic,,"[""vsp.cz""]",CZ,"[""http://www.vsp.cz/""]"
Brno University of Technology,Czech Republic,,"[""vutbr.cz"",""vut.cz""]",CZ,"[""https://www.vutbr.cz/"",""https://www.vut.cz/""]"
University of West Bohemia,Czech Republic,,"[""zcu.cz""]",CZ,"[""http://www.zcu.cz/""]"
Střední průmyslová škola Mladá Boleslav,Czech Republic,,"[""student.spsmb.cz"",""spsmb.cz""]",CZ,"[""https://spsmb.cz""]"
Institute of Technology and Business (VŠTE),Czech Republic,,"[""vstecb.cz""]",CZ,"[""https://www.vstecb.cz/""]"
